2026-02-12 22:23:49.576 | INFO     | __main__:on_startup:139 - БД готова.
2026-02-12 22:23:49.577 | INFO     | __main__:main:170 - Запускаю бота…
2026-02-12 22:30:17.303 | INFO     | __main__:on_startup:137 - Инициализация БД…
2026-02-12 22:30:17.362 | INFO     | __main__:on_startup:139 - БД готова.
2026-02-12 22:30:17.362 | INFO     | __main__:main:170 - Запускаю бота…
2026-02-12 22:32:37.288 | INFO     | __main__:on_startup:137 - Инициализация БД…
2026-02-12 22:32:37.356 | INFO     | __main__:on_startup:139 - БД готова.
2026-02-12 22:32:37.357 | INFO     | __main__:main:170 - Запускаю бота…
2026-02-12 22:34:57.831 | INFO     | __main__:on_startup:137 - Инициализация БД…
2026-02-12 22:34:57.893 | INFO     | __main__:on_startup:139 - БД готова.
2026-02-12 22:34:57.893 | INFO     | __main__:main:170 - Запускаю бота…
2026-02-12 22:37:09.119 | INFO     | __main__:on_startup:137 - Инициализация БД…
2026-02-12 22:37:09.177 | INFO     | __main__:on_startup:139 - БД готова.
2026-02-12 22:37:09.178 | INFO     | __main__:main:170 - Запускаю бота…
2026-02-12 22:39:14.053 | INFO     | __main__:on_startup:137 - Инициализация БД…
2026-02-12 22:39:14.119 | INFO     | __main__:on_startup:139 - БД готова.
2026-02-12 22:39:14.120 | INFO     | __main__:main:170 - Запускаю бота…
2026-02-12 22:43:51.774 | INFO     | __main__:on_startup:137 - Инициализация БД…
2026-02-12 22:43:51.834 | INFO     | __main__:on_startup:139 - БД готова.
2026-02-12 22:43:51.834 | INFO     | __main__:main:170 - Запускаю бота…
2026-02-12 23:10:37.176 | INFO     | __main__:on_startup:137 - Инициализация БД…
2026-02-12 23:10:37.254 | INFO     | __main__:on_startup:139 - БД готова.
2026-02-12 23:10:37.255 | INFO     | __main__:main:170 - Запускаю бота…
